pID,Coursenumber,Coursename,Semester,Year,PostTitle,PostDate,PostText,PostTags,PostAuthorUserID,PostAuthorFirstname,PostAuthorLastname,Response1Date,Response1Text,Response1AuthorUserID,Response1AuthorFirstname,Response1AuthorLastname,Response2Date,Response2Text,Response2AuthorUserID,Response2AuthorFirstname,Response2AuthorLastname,Response3Date,Response3Text,Response3AuthorUserID,Response3AuthorFirstname,Response3AuthorLastname,Response4Date,Response4Text,Response4AuthorUserID,Response4AuthorFirstname,Response4AuthorLastname,Response5Date,Response5Text,Response5AuthorUserID,Response5AuthorFirstname,Response5AuthorLastname
yfdd,CS377,Database Systems,Fall,2021,Question 1 Clarification,2021/09/05 16:30,Are we to find countries who have won no medals and report all the last names associated with them or find the last names of all athletes who have no medals?,assignment1,bSZa17FK2l,John,Kim,2021/09/05 16:35,I think we are trying to list out the last name of the athletes that are in countries that neither have competed yet or none of their athletes have ranked in the top 3 so far.,ize3lkeNiR,Elaine,Chong,2021/09/05 20:45,Yes Elaine is correct in this response.,WJrWAidLZ5,Jessica,Ji,,,,,,,,,,,,,,,
hgfd,CS377,Database Systems,Fall,2021,Assignment 1 Graded,2021/10/01 7:30,The grades for assignment 1 are on Gradescope. Please see today's slides for the regrade request policy.,logistics;assignment1,A1Kcf8Z1u3,Joyce,Ho,,,,,,,,,,,,,,,,,,,,,,,,,
ytre,CS377,Database Systems,Fall,2021,Assignment 1 Graded,2021/10/01 7:30,How do we setup the Yelp Server?,assignment2,ize3lkeNiR,Elaine,Chong,,,,,,,,,,,,,,,,,,,,,,,,,
oiuy,CS377,Database Systems,Fall,2021,Conceptual question - relational state vs relational schema,2021/09/05 10:15,Is there a difference between the two?,lectures,Xo3aGKAsfE,Daniele,Heimans,2021/09/05 13:35,The relational schema is the structure and design of the relation such as the attribute list. The relation state is like the table content at any given moment.,ize3lkeNiR,Elaine,Chong,2021/09/05 15:45,You can draw an analogy between the relational schema and classes in Java. Then you can think of relation state as the objects that are defined at that particular time.,A1Kcf8Z1u3,Joyce,Ho,,,,,,,,,,,,,,,
trew,CS377,Database Systems,Fall,2021,Assignment 1 Graded,2021/10/15 7:25,The grades for assignment 2 are on Canvas. Please see the assignment2_rubric.xlsx file for more details.,logistics;assignment2,A1Kcf8Z1u3,Joyce,Ho,2021/10/15 13:32,The numbers seem to be incorrect and it seems the points were posted?,ize3lkeNiR,Elaine,Chong,2021/10/15 20:02,Sorry about the mistake the correct question items were posted now.,A1Kcf8Z1u3,Joyce,Ho,2021/10/15 23:32,Where can we find the spreadsheet?,A3mMrNEFsy,Viktor,Fiddler,2021/10/15 23:59,The spreadsheet is under the Assignment2 folder.,tmt3aPs20s,Nikhil,Bapat,2021/10/16 0:11,Thanks Nikhil!,A3mMrNEFsy,Viktor,Fiddler
vcxz,CS377,Database Systems,Fall,2021,HW3 Q2,2021/10/09 8:30,Can we assume each city has a distance name?,assignment3,fk7USWbA60,Cynthia,Chen,2021/10/09 10:24,You can assume that each city has a distance name so you would consider Atlanta GA to be the same name as Atlanta FL,A1Kcf8Z1u3,Joyce,Ho,2021/10/25 13:45,Does this apply for Q9 as well?,Xo3aGKAsfE,Daniele,Heimans,2021/10/25 18:21,Not sure which part you are asking but if its whether Beaverton only exists in OR then no.,,,,,,,,,,,,,
trds,CS377,Database Systems,Fall,2021,HW3,2021/10/15 7:48,Are we allowed to create a tempory table to hold intermediate results?,assignment3,bSZa17FK2l,John,Kim,2021/10/16 6:23,You can use temporal relations (see WITH and FROM) to do this rather than create temporary tables,PiQvBSPut9,Rebecca,Luo,,,,,,,,,,,,,,,,,,,,
jhgf,CS377,Database Systems,Fall,2021,Assignment 4 Graded,2021/10/01 7:30,The grades for assignment 1 are on Gradescope. Please see today's slides for the regrade request policy.,logistics;assignment4,A1Kcf8Z1u3,Joyce,Ho,,,,,,,,,,,,,,,,,,,,,,,,,
fxvb,CS377,Database Systems,Fall,2021,,,,final project;preps;other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treq,CS171,Introduction to Computer Science II,Fall,2021,A1 Tips,2021/09/14 11:45,We've had some great questions during office hours. Here are some FAQ for anyone that might have the same questions. If you resubmit an assignment don't worry about the added number. If you are worried that your code will not compile on our end; test it out by downloading your submitted code on Canvas and trying to compile it again.,hw1,8uv1aK9btU,Newton,Hart,,,,,,,,,,,,,,,,,,,,,,,,,
